event	event_ch_name	event_description	key1	key2	key3	key4	key5	key6	key7	key8	key9	key10	key11	key12	key13	key14	key15	key16	key17	key18	key19	key20	key21	key22	key23	key24	key25	key26	key27	key28	key29	key30	key31
g2052script	剧本_列表打开	显示剧本列表界面时	stay_drama_main_time	player_sex	player_active																												
g2052scriptCreate	剧本_创建界面打开	显示创建剧本界面时	stay_drama_create_time	player_sex	player_active																												
script_create_success	剧本_创建成功	成功跳转进入	script_join_time	player_sex	player_active	script_uid	script_maxplayer	script_mould																									
script_join_success	剧本_加入成功	成功跳转进入	script_join_time	player_sex	player_active	script_uid	script_join_type	script_maxplayer	script_mould																								
car_speeduiclick	载具_点击ui换挡	点击ui时																															
car_speedchange	载具_使用换挡	使用功能时	car_id	car_gear																													
car_colorchange	载具_换色	使用功能时	car_id																														
car_shengjiangti	消防车_升降梯	使用功能时																															
car_water	消防车_洒水	使用功能时																															
car_stop	校车_停止牌	使用功能时																															
car_shopopen	商店车_打开	使用功能时																															
script_character_msgchange	（弃）剧本_更换角色	玩家在剧本中成功更换角色时，不包含首次选择角色																															
script_msgchange	剧本_修改剧本信息	房主成功修改剧本信息（标题和简介）时																															
g2052likerank	剧本_排行榜界面打开	显示玩家点赞排行榜界面时																															
script_like	剧本_点赞	首次给某一剧本点赞时																															
halloween_ghost	万圣节_找到幽灵	找到幽灵时	ghost_id	player_sex	player_active																												
halloween_exchange	万圣节_兑换奖励	兑换成功时	halloween_exchange_id	player_sex	player_active																												
halloween_ask	万圣节_主动索要糖果																																
halloween_deliver	万圣节_主动赠送糖果																																
event_image_appear	拍脸图出现	拍脸图出现时	face_photo_id																														
fish_image_preview	钓鱼抽奖拍脸图预览大奖	钓鱼抽奖拍脸图预览大奖	face_award_id																														
fish_image_enter	点击拍脸图进入活动	点击拍脸图进入活动	face_photo_id																														
shop_item_preview	商城界面内点击查看商品	商城界面内点击查看商品	shop_goodsId																														
shop_page_click	商城界面内点击商品种类页签	商城界面内点击商品种类页签	shop_goods_type																														
shop_item_buy	购买商品成功	购买商品成功	shop_goodsId	buy_type																													
shop_disaster_buy	购买灾难模拟器成功	购买灾难模拟器成功																															
main_item_preview	在主界面购买商品时点击预览按钮	在主界面购买商品时点击预览按钮	shop_goodsId																														
fish_event_enter	进入钓鱼活动界面	进入钓鱼活动界面	limit_activityId																														
fish_event_preview	钓鱼活动界面点击查看奖品	钓鱼活动界面点击查看奖品	limit_mus_award_id																														
newplayer_fish_enter	从未在本期钓鱼活动中抽奖过的玩家，进入钓鱼活动界面	从未在本期钓鱼活动中抽奖过的玩家，进入钓鱼活动界面	limit_activityId																														
fish_event_freedraw	钓鱼活动首次免费抽奖成功	钓鱼活动首次免费抽奖成功	limit_activityId																														
fish_event_buy	钓鱼活动中花费金魔方抽奖成功	钓鱼活动中花费金魔方抽奖成功	limit_activityId	draw_count																													
g2052_3d_event_enter	三日活动_界面打开	三日活动_界面打开																															
g2052_3d_event_preview	三日活动_查看活动奖励	三日活动_查看活动奖励	d3_gift_id																														
g2052_3d_event_receive	三日活动_领取活动奖励	三日活动_领取活动奖励	d3_gift_id																														
g2052_3d_task_guide	三日活动_任务引导跳转	玩家点击某个任务目标的引导跳转按钮时	d3_task_id																														
g2052_3d_task_finish	三日活动_单次任务完成	玩家的某个任务完成了一次目标数目时	d3_task_id																														
g2052_3d_task_receive	三日活动_领取任务积分	玩家点击领取了某个任务目标奖励时	d3_task_id																														
g2052_pay_money	金魔方支付埋点	金魔方支付成功时	g2052_pay_coin_id	g2052_pay_coin_num	g2052_pay_price	g2052_pay_unique_id	g2052_pay_goods_num	g2052_pay_reason																									
g2052_vehicle_mAd_click	玩家点击激励广告图标时上报	玩家点击激励广告图标时上报	ad_id																														
g2052_vehicle_mAd_suspend	玩家主动关闭激励广告时上报	玩家主动关闭激励广告时上报	ad_id																														
g2052_vehicle_mAd_success	成功看完激励广告时上报	成功看完激励广告时上报	ad_id																														
g2052_vehicle_mAd_fail	观看广告失败时上报	观看广告失败时上报	ad_id																														
g2052_vehicle_mAd_code_client	客户端广告拉取结果	客户端广告拉取结果	ad_id	g2052_ad_code																													
